the,of,is,cause
pokemon/type/0,EfyFiHwN7gaJAmSvyLYLZE7YjvC6oKwkTfbhpUjPmMEg,ice,
pokemon/type/1,EfyFiHwN7gaJAmSvyLYLZE7YjvC6oKwkTfbhpUjPmMEg,psychic,
pokemon/name,EgEYgs8M9jcAfEqJMXsFZATQ7RQQ9jD25SUHTtgbbvej,drizzile,
pokemon/stat/attack,EgEYgs8M9jcAfEqJMXsFZATQ7RQQ9jD25SUHTtgbbvej,60,
pokemon/stat/defense,EgEYgs8M9jcAfEqJMXsFZATQ7RQQ9jD25SUHTtgbbvej,55,
pokemon/stat/hp,EgEYgs8M9jcAfEqJMXsFZATQ7RQQ9jD25SUHTtgbbvej,65,
pokemon/stat/special-attack,EgEYgs8M9jcAfEqJMXsFZATQ7RQQ9jD25SUHTtgbbvej,95,
pokemon/stat/special-defense,EgEYgs8M9jcAfEqJMXsFZATQ7RQQ9jD25SUHTtgbbvej,55,
pokemon/stat/speed,EgEYgs8M9jcAfEqJMXsFZATQ7RQQ9jD25SUHTtgbbvej,90,
pokemon/type/0,EgEYgs8M9jcAfEqJMXsFZATQ7RQQ9jD25SUHTtgbbvej,water,
pokemon/name,EgbxN6B1z8p2VkQFPF3H3HdAmZyBLkLBur4pr4axktxu,nidoran-f,
pokemon/stat/attack,EgbxN6B1z8p2VkQFPF3H3HdAmZyBLkLBur4pr4axktxu,47,
pokemon/stat/defense,EgbxN6B1z8p2VkQFPF3H3HdAmZyBLkLBur4pr4axktxu,52,
pokemon/stat/hp,EgbxN6B1z8p2VkQFPF3H3HdAmZyBLkLBur4pr4axktxu,55,
pokemon/stat/special-attack,EgbxN6B1z8p2VkQFPF3H3HdAmZyBLkLBur4pr4axktxu,40,
pokemon/stat/special-defense,EgbxN6B1z8p2VkQFPF3H3HdAmZyBLkLBur4pr4axktxu,40,
pokemon/stat/speed,EgbxN6B1z8p2VkQFPF3H3HdAmZyBLkLBur4pr4axktxu,41,
pokemon/type/0,EgbxN6B1z8p2VkQFPF3H3HdAmZyBLkLBur4pr4axktxu,poison,
pokemon/name,Eh89zTnXPmyUho8bDFFXM9jdcxPU6Kh5bRzNY52W6zBK,probopass,
pokemon/stat/attack,Eh89zTnXPmyUho8bDFFXM9jdcxPU6Kh5bRzNY52W6zBK,55,
pokemon/stat/defense,Eh89zTnXPmyUho8bDFFXM9jdcxPU6Kh5bRzNY52W6zBK,145,
pokemon/stat/hp,Eh89zTnXPmyUho8bDFFXM9jdcxPU6Kh5bRzNY52W6zBK,60,
pokemon/stat/special-attack,Eh89zTnXPmyUho8bDFFXM9jdcxPU6Kh5bRzNY52W6zBK,75,
pokemon/stat/special-defense,Eh89zTnXPmyUho8bDFFXM9jdcxPU6Kh5bRzNY52W6zBK,150,
pokemon/stat/speed,Eh89zTnXPmyUho8bDFFXM9jdcxPU6Kh5bRzNY52W6zBK,40,
pokemon/type/0,Eh89zTnXPmyUho8bDFFXM9jdcxPU6Kh5bRzNY52W6zBK,rock,
pokemon/type/1,Eh89zTnXPmyUho8bDFFXM9jdcxPU6Kh5bRzNY52W6zBK,steel,
pokemon/name,EhhZj8NNN2nsGjBLhqUYSN4nUx2r9ZVswZG3YZqhD5zA,panpour,
pokemon/stat/attack,EhhZj8NNN2nsGjBLhqUYSN4nUx2r9ZVswZG3YZqhD5zA,53,
pokemon/stat/defense,EhhZj8NNN2nsGjBLhqUYSN4nUx2r9ZVswZG3YZqhD5zA,48,
pokemon/stat/hp,EhhZj8NNN2nsGjBLhqUYSN4nUx2r9ZVswZG3YZqhD5zA,50,
pokemon/stat/special-attack,EhhZj8NNN2nsGjBLhqUYSN4nUx2r9ZVswZG3YZqhD5zA,53,
pokemon/stat/special-defense,EhhZj8NNN2nsGjBLhqUYSN4nUx2r9ZVswZG3YZqhD5zA,48,
pokemon/stat/speed,EhhZj8NNN2nsGjBLhqUYSN4nUx2r9ZVswZG3YZqhD5zA,64,
pokemon/type/0,EhhZj8NNN2nsGjBLhqUYSN4nUx2r9ZVswZG3YZqhD5zA,water,
pokemon/name,EhrNAnPSCz7dtayCEY7kcp3PsRKwxJxPUKT2btqaZcdH,clobbopus,
pokemon/stat/attack,EhrNAnPSCz7dtayCEY7kcp3PsRKwxJxPUKT2btqaZcdH,68,
pokemon/stat/defense,EhrNAnPSCz7dtayCEY7kcp3PsRKwxJxPUKT2btqaZcdH,60,
pokemon/stat/hp,EhrNAnPSCz7dtayCEY7kcp3PsRKwxJxPUKT2btqaZcdH,50,
pokemon/stat/special-attack,EhrNAnPSCz7dtayCEY7kcp3PsRKwxJxPUKT2btqaZcdH,50,
pokemon/stat/special-defense,EhrNAnPSCz7dtayCEY7kcp3PsRKwxJxPUKT2btqaZcdH,50,
pokemon/stat/speed,EhrNAnPSCz7dtayCEY7kcp3PsRKwxJxPUKT2btqaZcdH,32,
pokemon/type/0,EhrNAnPSCz7dtayCEY7kcp3PsRKwxJxPUKT2btqaZcdH,fighting,
pokemon/name,Ei5wBwCacqkhpUdQdCb4ZgHvoi5YA6xJP7QPPiHAtwgB,meloetta-aria,
pokemon/stat/attack,Ei5wBwCacqkhpUdQdCb4ZgHvoi5YA6xJP7QPPiHAtwgB,77,
pokemon/stat/defense,Ei5wBwCacqkhpUdQdCb4ZgHvoi5YA6xJP7QPPiHAtwgB,77,
pokemon/stat/hp,Ei5wBwCacqkhpUdQdCb4ZgHvoi5YA6xJP7QPPiHAtwgB,100,
pokemon/stat/special-attack,Ei5wBwCacqkhpUdQdCb4ZgHvoi5YA6xJP7QPPiHAtwgB,128,
pokemon/stat/special-defense,Ei5wBwCacqkhpUdQdCb4ZgHvoi5YA6xJP7QPPiHAtwgB,128,
pokemon/stat/speed,Ei5wBwCacqkhpUdQdCb4ZgHvoi5YA6xJP7QPPiHAtwgB,90,
pokemon/type/0,Ei5wBwCacqkhpUdQdCb4ZgHvoi5YA6xJP7QPPiHAtwgB,normal,
pokemon/type/1,Ei5wBwCacqkhpUdQdCb4ZgHvoi5YA6xJP7QPPiHAtwgB,psychic,
pokemon/name,EiV8vZEWH3neHoS6wUikX68ZG934S5r38GoZ7ufoXqCi,joltik,
pokemon/stat/attack,EiV8vZEWH3neHoS6wUikX68ZG934S5r38GoZ7ufoXqCi,47,
pokemon/stat/defense,EiV8vZEWH3neHoS6wUikX68ZG934S5r38GoZ7ufoXqCi,50,
pokemon/stat/hp,EiV8vZEWH3neHoS6wUikX68ZG934S5r38GoZ7ufoXqCi,50,
pokemon/stat/special-attack,EiV8vZEWH3neHoS6wUikX68ZG934S5r38GoZ7ufoXqCi,57,
pokemon/stat/special-defense,EiV8vZEWH3neHoS6wUikX68ZG934S5r38GoZ7ufoXqCi,50,
pokemon/stat/speed,EiV8vZEWH3neHoS6wUikX68ZG934S5r38GoZ7ufoXqCi,65,
pokemon/type/0,EiV8vZEWH3neHoS6wUikX68ZG934S5r38GoZ7ufoXqCi,bug,
pokemon/type/1,EiV8vZEWH3neHoS6wUikX68ZG934S5r38GoZ7ufoXqCi,electric,
pokemon/name,EiWivqcGdPZa1wUYKcDCwUDSxq9zSMS3Ayq81fRi3Ek7,pignite,
pokemon/stat/attack,EiWivqcGdPZa1wUYKcDCwUDSxq9zSMS3Ayq81fRi3Ek7,93,
pokemon/stat/defense,EiWivqcGdPZa1wUYKcDCwUDSxq9zSMS3Ayq81fRi3Ek7,55,
pokemon/stat/hp,EiWivqcGdPZa1wUYKcDCwUDSxq9zSMS3Ayq81fRi3Ek7,90,
pokemon/stat/special-attack,EiWivqcGdPZa1wUYKcDCwUDSxq9zSMS3Ayq81fRi3Ek7,70,
pokemon/stat/special-defense,EiWivqcGdPZa1wUYKcDCwUDSxq9zSMS3Ayq81fRi3Ek7,55,
pokemon/stat/speed,EiWivqcGdPZa1wUYKcDCwUDSxq9zSMS3Ayq81fRi3Ek7,55,
pokemon/type/0,EiWivqcGdPZa1wUYKcDCwUDSxq9zSMS3Ayq81fRi3Ek7,fire,
pokemon/type/1,EiWivqcGdPZa1wUYKcDCwUDSxq9zSMS3Ayq81fRi3Ek7,fighting,
pokemon/name,Ej85T2nG1mKyhfXi7JP75mW9kd5w8ZP4NbQigYix1JJu,pinsir,
pokemon/stat/attack,Ej85T2nG1mKyhfXi7JP75mW9kd5w8ZP4NbQigYix1JJu,125,
pokemon/stat/defense,Ej85T2nG1mKyhfXi7JP75mW9kd5w8ZP4NbQigYix1JJu,100,
pokemon/stat/hp,Ej85T2nG1mKyhfXi7JP75mW9kd5w8ZP4NbQigYix1JJu,65,
pokemon/stat/special-attack,Ej85T2nG1mKyhfXi7JP75mW9kd5w8ZP4NbQigYix1JJu,55,
pokemon/stat/special-defense,Ej85T2nG1mKyhfXi7JP75mW9kd5w8ZP4NbQigYix1JJu,70,
pokemon/stat/speed,Ej85T2nG1mKyhfXi7JP75mW9kd5w8ZP4NbQigYix1JJu,85,
pokemon/type/0,Ej85T2nG1mKyhfXi7JP75mW9kd5w8ZP4NbQigYix1JJu,bug,
pokemon/name,EjPm6MFUbFexK4Tj97B8DKEdctdjCPHDUYiG7asveLLc,kyurem,
pokemon/stat/attack,EjPm6MFUbFexK4Tj97B8DKEdctdjCPHDUYiG7asveLLc,130,
pokemon/stat/defense,EjPm6MFUbFexK4Tj97B8DKEdctdjCPHDUYiG7asveLLc,90,
pokemon/stat/hp,EjPm6MFUbFexK4Tj97B8DKEdctdjCPHDUYiG7asveLLc,125,
pokemon/stat/special-attack,EjPm6MFUbFexK4Tj97B8DKEdctdjCPHDUYiG7asveLLc,130,
pokemon/stat/special-defense,EjPm6MFUbFexK4Tj97B8DKEdctdjCPHDUYiG7asveLLc,90,
pokemon/stat/speed,EjPm6MFUbFexK4Tj97B8DKEdctdjCPHDUYiG7asveLLc,95,
pokemon/type/0,EjPm6MFUbFexK4Tj97B8DKEdctdjCPHDUYiG7asveLLc,dragon,
pokemon/type/1,EjPm6MFUbFexK4Tj97B8DKEdctdjCPHDUYiG7asveLLc,ice,
pokemon/name,EjQoAPC3maQTH3seSzP9NCQKe5m1kyAkjEmHFo7iCMvn,cyclizar,
pokemon/stat/attack,EjQoAPC3maQTH3seSzP9NCQKe5m1kyAkjEmHFo7iCMvn,95,
pokemon/stat/defense,EjQoAPC3maQTH3seSzP9NCQKe5m1kyAkjEmHFo7iCMvn,65,
pokemon/stat/hp,EjQoAPC3maQTH3seSzP9NCQKe5m1kyAkjEmHFo7iCMvn,70,
pokemon/stat/special-attack,EjQoAPC3maQTH3seSzP9NCQKe5m1kyAkjEmHFo7iCMvn,85,
pokemon/stat/special-defense,EjQoAPC3maQTH3seSzP9NCQKe5m1kyAkjEmHFo7iCMvn,65,
pokemon/stat/speed,EjQoAPC3maQTH3seSzP9NCQKe5m1kyAkjEmHFo7iCMvn,121,
pokemon/type/0,EjQoAPC3maQTH3seSzP9NCQKe5m1kyAkjEmHFo7iCMvn,dragon,
pokemon/type/1,EjQoAPC3maQTH3seSzP9NCQKe5m1kyAkjEmHFo7iCMvn,normal,
pokemon/name,EjuNUqUBPAsHYjkpF7wXV1Kei1Pt1eY7jmCwWy7DUQw5,ivysaur,
pokemon/stat/attack,EjuNUqUBPAsHYjkpF7wXV1Kei1Pt1eY7jmCwWy7DUQw5,62,
pokemon/stat/defense,EjuNUqUBPAsHYjkpF7wXV1Kei1Pt1eY7jmCwWy7DUQw5,63,
pokemon/stat/hp,EjuNUqUBPAsHYjkpF7wXV1Kei1Pt1eY7jmCwWy7DUQw5,60,
pokemon/stat/special-attack,EjuNUqUBPAsHYjkpF7wXV1Kei1Pt1eY7jmCwWy7DUQw5,80,
pokemon/stat/special-defense,EjuNUqUBPAsHYjkpF7wXV1Kei1Pt1eY7jmCwWy7DUQw5,80,
pokemon/stat/speed,EjuNUqUBPAsHYjkpF7wXV1Kei1Pt1eY7jmCwWy7DUQw5,60,
pokemon/type/0,EjuNUqUBPAsHYjkpF7wXV1Kei1Pt1eY7jmCwWy7DUQw5,grass,
pokemon/type/1,EjuNUqUBPAsHYjkpF7wXV1Kei1Pt1eY7jmCwWy7DUQw5,poison,
pokemon/name,Em4qDd5LjxzKSHxtVym4XjvLVtvhRvPKnZVYEE7qHZae,marshadow,
pokemon/stat/attack,Em4qDd5LjxzKSHxtVym4XjvLVtvhRvPKnZVYEE7qHZae,125,
pokemon/stat/defense,Em4qDd5LjxzKSHxtVym4XjvLVtvhRvPKnZVYEE7qHZae,80,
pokemon/stat/hp,Em4qDd5LjxzKSHxtVym4XjvLVtvhRvPKnZVYEE7qHZae,90,
pokemon/stat/special-attack,Em4qDd5LjxzKSHxtVym4XjvLVtvhRvPKnZVYEE7qHZae,90,
pokemon/stat/special-defense,Em4qDd5LjxzKSHxtVym4XjvLVtvhRvPKnZVYEE7qHZae,90,
pokemon/stat/speed,Em4qDd5LjxzKSHxtVym4XjvLVtvhRvPKnZVYEE7qHZae,125,
pokemon/type/0,Em4qDd5LjxzKSHxtVym4XjvLVtvhRvPKnZVYEE7qHZae,fighting,
pokemon/type/1,Em4qDd5LjxzKSHxtVym4XjvLVtvhRvPKnZVYEE7qHZae,ghost,
pokemon/name,EmMS9c7uFL2LcWu62Hsbm9pWB83aLh1WAYj2VHqQAu3V,garganacl,
pokemon/stat/attack,EmMS9c7uFL2LcWu62Hsbm9pWB83aLh1WAYj2VHqQAu3V,100,
pokemon/stat/defense,EmMS9c7uFL2LcWu62Hsbm9pWB83aLh1WAYj2VHqQAu3V,130,
pokemon/stat/hp,EmMS9c7uFL2LcWu62Hsbm9pWB83aLh1WAYj2VHqQAu3V,100,
pokemon/stat/special-attack,EmMS9c7uFL2LcWu62Hsbm9pWB83aLh1WAYj2VHqQAu3V,45,
pokemon/stat/special-defense,EmMS9c7uFL2LcWu62Hsbm9pWB83aLh1WAYj2VHqQAu3V,90,
pokemon/stat/speed,EmMS9c7uFL2LcWu62Hsbm9pWB83aLh1WAYj2VHqQAu3V,35,
pokemon/type/0,EmMS9c7uFL2LcWu62Hsbm9pWB83aLh1WAYj2VHqQAu3V,rock,
pokemon/name,En6F1jPJeaehWTsUgsNrF3gK7aG17k1gNpoSWwTyyUo9,tepig,
pokemon/stat/attack,En6F1jPJeaehWTsUgsNrF3gK7aG17k1gNpoSWwTyyUo9,63,
pokemon/stat/defense,En6F1jPJeaehWTsUgsNrF3gK7aG17k1gNpoSWwTyyUo9,45,
pokemon/stat/hp,En6F1jPJeaehWTsUgsNrF3gK7aG17k1gNpoSWwTyyUo9,65,
pokemon/stat/special-attack,En6F1jPJeaehWTsUgsNrF3gK7aG17k1gNpoSWwTyyUo9,45,
pokemon/stat/special-defense,En6F1jPJeaehWTsUgsNrF3gK7aG17k1gNpoSWwTyyUo9,45,
pokemon/stat/speed,En6F1jPJeaehWTsUgsNrF3gK7aG17k1gNpoSWwTyyUo9,45,
pokemon/type/0,En6F1jPJeaehWTsUgsNrF3gK7aG17k1gNpoSWwTyyUo9,fire,
pokemon/name,EnQz4hiXqtWckpM9xgjFGmvdto8tfKKhpjMTeiJrQWwp,glastrier,
pokemon/stat/attack,EnQz4hiXqtWckpM9xgjFGmvdto8tfKKhpjMTeiJrQWwp,145,
pokemon/stat/defense,EnQz4hiXqtWckpM9xgjFGmvdto8tfKKhpjMTeiJrQWwp,130,
pokemon/stat/hp,EnQz4hiXqtWckpM9xgjFGmvdto8tfKKhpjMTeiJrQWwp,100,
pokemon/stat/special-attack,EnQz4hiXqtWckpM9xgjFGmvdto8tfKKhpjMTeiJrQWwp,65,
pokemon/stat/special-defense,EnQz4hiXqtWckpM9xgjFGmvdto8tfKKhpjMTeiJrQWwp,110,
pokemon/stat/speed,EnQz4hiXqtWckpM9xgjFGmvdto8tfKKhpjMTeiJrQWwp,30,
pokemon/type/0,EnQz4hiXqtWckpM9xgjFGmvdto8tfKKhpjMTeiJrQWwp,ice,
pokemon/name,EnZtz7T3tuDxEjJDsKozcLwJA8oHSHN7KkcojEbFNJNK,floette,
pokemon/stat/attack,EnZtz7T3tuDxEjJDsKozcLwJA8oHSHN7KkcojEbFNJNK,45,
pokemon/stat/defense,EnZtz7T3tuDxEjJDsKozcLwJA8oHSHN7KkcojEbFNJNK,47,
pokemon/stat/hp,EnZtz7T3tuDxEjJDsKozcLwJA8oHSHN7KkcojEbFNJNK,54,
pokemon/stat/special-attack,EnZtz7T3tuDxEjJDsKozcLwJA8oHSHN7KkcojEbFNJNK,75,
pokemon/stat/special-defense,EnZtz7T3tuDxEjJDsKozcLwJA8oHSHN7KkcojEbFNJNK,98,
pokemon/stat/speed,EnZtz7T3tuDxEjJDsKozcLwJA8oHSHN7KkcojEbFNJNK,52,
pokemon/type/0,EnZtz7T3tuDxEjJDsKozcLwJA8oHSHN7KkcojEbFNJNK,fairy,
pokemon/name,Ep5UnAJ85GPDW7rgDBdNJ3FoMiD3qaPk3qjRQf8sVW3k,flamigo,
pokemon/stat/attack,Ep5UnAJ85GPDW7rgDBdNJ3FoMiD3qaPk3qjRQf8sVW3k,115,
pokemon/stat/defense,Ep5UnAJ85GPDW7rgDBdNJ3FoMiD3qaPk3qjRQf8sVW3k,74,
pokemon/stat/hp,Ep5UnAJ85GPDW7rgDBdNJ3FoMiD3qaPk3qjRQf8sVW3k,82,
pokemon/stat/special-attack,Ep5UnAJ85GPDW7rgDBdNJ3FoMiD3qaPk3qjRQf8sVW3k,75,
pokemon/stat/special-defense,Ep5UnAJ85GPDW7rgDBdNJ3FoMiD3qaPk3qjRQf8sVW3k,64,
pokemon/stat/speed,Ep5UnAJ85GPDW7rgDBdNJ3FoMiD3qaPk3qjRQf8sVW3k,90,
pokemon/type/0,Ep5UnAJ85GPDW7rgDBdNJ3FoMiD3qaPk3qjRQf8sVW3k,flying,
pokemon/type/1,Ep5UnAJ85GPDW7rgDBdNJ3FoMiD3qaPk3qjRQf8sVW3k,fighting,
pokemon/name,EqrTrLH1VQjyKRQ1TgmismUTmxMSYftrgDZ2BsZiv7KW,elgyem,
pokemon/stat/attack,EqrTrLH1VQjyKRQ1TgmismUTmxMSYftrgDZ2BsZiv7KW,55,
pokemon/stat/defense,EqrTrLH1VQjyKRQ1TgmismUTmxMSYftrgDZ2BsZiv7KW,55,
pokemon/stat/hp,EqrTrLH1VQjyKRQ1TgmismUTmxMSYftrgDZ2BsZiv7KW,55,
pokemon/stat/special-attack,EqrTrLH1VQjyKRQ1TgmismUTmxMSYftrgDZ2BsZiv7KW,85,
pokemon/stat/special-defense,EqrTrLH1VQjyKRQ1TgmismUTmxMSYftrgDZ2BsZiv7KW,55,
pokemon/stat/speed,EqrTrLH1VQjyKRQ1TgmismUTmxMSYftrgDZ2BsZiv7KW,30,
pokemon/type/0,EqrTrLH1VQjyKRQ1TgmismUTmxMSYftrgDZ2BsZiv7KW,psychic,
pokemon/name,Er95uHjaW9tQbQXdtC75Z9ejKJYAi2APWDrqx97KFnPo,landorus-incarnate,
pokemon/stat/attack,Er95uHjaW9tQbQXdtC75Z9ejKJYAi2APWDrqx97KFnPo,125,
pokemon/stat/defense,Er95uHjaW9tQbQXdtC75Z9ejKJYAi2APWDrqx97KFnPo,90,
pokemon/stat/hp,Er95uHjaW9tQbQXdtC75Z9ejKJYAi2APWDrqx97KFnPo,89,
pokemon/stat/special-attack,Er95uHjaW9tQbQXdtC75Z9ejKJYAi2APWDrqx97KFnPo,115,
pokemon/stat/special-defense,Er95uHjaW9tQbQXdtC75Z9ejKJYAi2APWDrqx97KFnPo,80,
pokemon/stat/speed,Er95uHjaW9tQbQXdtC75Z9ejKJYAi2APWDrqx97KFnPo,101,
pokemon/type/0,Er95uHjaW9tQbQXdtC75Z9ejKJYAi2APWDrqx97KFnPo,ground,
pokemon/type/1,Er95uHjaW9tQbQXdtC75Z9ejKJYAi2APWDrqx97KFnPo,flying,
pokemon/name,ErC5UjeC8EtavU1svmhE3yaE5Nwmk4FMCiYpqn7apvac,eevee,
pokemon/stat/attack,ErC5UjeC8EtavU1svmhE3yaE5Nwmk4FMCiYpqn7apvac,55,
pokemon/stat/defense,ErC5UjeC8EtavU1svmhE3yaE5Nwmk4FMCiYpqn7apvac,50,
pokemon/stat/hp,ErC5UjeC8EtavU1svmhE3yaE5Nwmk4FMCiYpqn7apvac,55,
pokemon/stat/special-attack,ErC5UjeC8EtavU1svmhE3yaE5Nwmk4FMCiYpqn7apvac,45,
pokemon/stat/special-defense,ErC5UjeC8EtavU1svmhE3yaE5Nwmk4FMCiYpqn7apvac,65,
pokemon/stat/speed,ErC5UjeC8EtavU1svmhE3yaE5Nwmk4FMCiYpqn7apvac,55,
pokemon/type/0,ErC5UjeC8EtavU1svmhE3yaE5Nwmk4FMCiYpqn7apvac,normal,
pokemon/name,ErgFctdzWQUTpmjskJ4tReRo59xyiKJyACHiyxK3anP7,bulbasaur,
pokemon/stat/attack,ErgFctdzWQUTpmjskJ4tReRo59xyiKJyACHiyxK3anP7,49,
pokemon/stat/defense,ErgFctdzWQUTpmjskJ4tReRo59xyiKJyACHiyxK3anP7,49,
pokemon/stat/hp,ErgFctdzWQUTpmjskJ4tReRo59xyiKJyACHiyxK3anP7,45,
pokemon/stat/special-attack,ErgFctdzWQUTpmjskJ4tReRo59xyiKJyACHiyxK3anP7,65,
pokemon/stat/special-defense,ErgFctdzWQUTpmjskJ4tReRo59xyiKJyACHiyxK3anP7,65,
pokemon/stat/speed,ErgFctdzWQUTpmjskJ4tReRo59xyiKJyACHiyxK3anP7,45,
pokemon/type/0,ErgFctdzWQUTpmjskJ4tReRo59xyiKJyACHiyxK3anP7,grass,
pokemon/type/1,ErgFctdzWQUTpmjskJ4tReRo59xyiKJyACHiyxK3anP7,poison,
pokemon/name,EsTgF6mD7wFnGtYMvk79P5uUGuoimiPfLbppfemD5s3d,kommo-o,
pokemon/stat/attack,EsTgF6mD7wFnGtYMvk79P5uUGuoimiPfLbppfemD5s3d,110,
pokemon/stat/defense,EsTgF6mD7wFnGtYMvk79P5uUGuoimiPfLbppfemD5s3d,125,
pokemon/stat/hp,EsTgF6mD7wFnGtYMvk79P5uUGuoimiPfLbppfemD5s3d,75,
pokemon/stat/special-attack,EsTgF6mD7wFnGtYMvk79P5uUGuoimiPfLbppfemD5s3d,100,
pokemon/stat/special-defense,EsTgF6mD7wFnGtYMvk79P5uUGuoimiPfLbppfemD5s3d,105,
pokemon/stat/speed,EsTgF6mD7wFnGtYMvk79P5uUGuoimiPfLbppfemD5s3d,85,
pokemon/type/0,EsTgF6mD7wFnGtYMvk79P5uUGuoimiPfLbppfemD5s3d,dragon,
pokemon/type/1,EsTgF6mD7wFnGtYMvk79P5uUGuoimiPfLbppfemD5s3d,fighting,
pokemon/name,EsvGprJJdHUxFrn5puR3SVwUtQmt9QCrDXrmzCLz7TVz,yanma,
pokemon/stat/attack,EsvGprJJdHUxFrn5puR3SVwUtQmt9QCrDXrmzCLz7TVz,65,
pokemon/stat/defense,EsvGprJJdHUxFrn5puR3SVwUtQmt9QCrDXrmzCLz7TVz,45,
pokemon/stat/hp,EsvGprJJdHUxFrn5puR3SVwUtQmt9QCrDXrmzCLz7TVz,65,
pokemon/stat/special-attack,EsvGprJJdHUxFrn5puR3SVwUtQmt9QCrDXrmzCLz7TVz,75,
pokemon/stat/special-defense,EsvGprJJdHUxFrn5puR3SVwUtQmt9QCrDXrmzCLz7TVz,45,
pokemon/stat/speed,EsvGprJJdHUxFrn5puR3SVwUtQmt9QCrDXrmzCLz7TVz,95,
pokemon/type/0,EsvGprJJdHUxFrn5puR3SVwUtQmt9QCrDXrmzCLz7TVz,bug,
pokemon/type/1,EsvGprJJdHUxFrn5puR3SVwUtQmt9QCrDXrmzCLz7TVz,flying,
pokemon/name,EtV29R71XL9tzuYSxP9JTo31WADQQ7uhCQU7EVQB7RG1,miraidon-aquatic-mode,
pokemon/stat/attack,EtV29R71XL9tzuYSxP9JTo31WADQQ7uhCQU7EVQB7RG1,85,
pokemon/stat/defense,EtV29R71XL9tzuYSxP9JTo31WADQQ7uhCQU7EVQB7RG1,100,
pokemon/stat/hp,EtV29R71XL9tzuYSxP9JTo31WADQQ7uhCQU7EVQB7RG1,100,
pokemon/stat/special-attack,EtV29R71XL9tzuYSxP9JTo31WADQQ7uhCQU7EVQB7RG1,135,
pokemon/stat/special-defense,EtV29R71XL9tzuYSxP9JTo31WADQQ7uhCQU7EVQB7RG1,115,
pokemon/stat/speed,EtV29R71XL9tzuYSxP9JTo31WADQQ7uhCQU7EVQB7RG1,135,
pokemon/type/0,EtV29R71XL9tzuYSxP9JTo31WADQQ7uhCQU7EVQB7RG1,electric,
pokemon/type/1,EtV29R71XL9tzuYSxP9JTo31WADQQ7uhCQU7EVQB7RG1,dragon,
pokemon/name,EuxTasfUqghVr454JcQBb26Fa3wZcTJdY8Y5YE9uHbcF,pumpkaboo-large,
pokemon/stat/attack,EuxTasfUqghVr454JcQBb26Fa3wZcTJdY8Y5YE9uHbcF,66,
pokemon/stat/defense,EuxTasfUqghVr454JcQBb26Fa3wZcTJdY8Y5YE9uHbcF,70,
pokemon/stat/hp,EuxTasfUqghVr454JcQBb26Fa3wZcTJdY8Y5YE9uHbcF,54,
pokemon/stat/special-attack,EuxTasfUqghVr454JcQBb26Fa3wZcTJdY8Y5YE9uHbcF,44,
pokemon/stat/special-defense,EuxTasfUqghVr454JcQBb26Fa3wZcTJdY8Y5YE9uHbcF,55,
pokemon/stat/speed,EuxTasfUqghVr454JcQBb26Fa3wZcTJdY8Y5YE9uHbcF,46,
pokemon/type/0,EuxTasfUqghVr454JcQBb26Fa3wZcTJdY8Y5YE9uHbcF,ghost,
pokemon/type/1,EuxTasfUqghVr454JcQBb26Fa3wZcTJdY8Y5YE9uHbcF,grass,
pokemon/name,EuzzjqHJm7gZvsw3kfX3hswJGeFFvrfs4A8hbCaLhRDQ,farigiraf,
pokemon/stat/attack,EuzzjqHJm7gZvsw3kfX3hswJGeFFvrfs4A8hbCaLhRDQ,90,
pokemon/stat/defense,EuzzjqHJm7gZvsw3kfX3hswJGeFFvrfs4A8hbCaLhRDQ,70,
pokemon/stat/hp,EuzzjqHJm7gZvsw3kfX3hswJGeFFvrfs4A8hbCaLhRDQ,120,
pokemon/stat/special-attack,EuzzjqHJm7gZvsw3kfX3hswJGeFFvrfs4A8hbCaLhRDQ,110,
pokemon/stat/special-defense,EuzzjqHJm7gZvsw3kfX3hswJGeFFvrfs4A8hbCaLhRDQ,70,
pokemon/stat/speed,EuzzjqHJm7gZvsw3kfX3hswJGeFFvrfs4A8hbCaLhRDQ,60,
pokemon/type/0,EuzzjqHJm7gZvsw3kfX3hswJGeFFvrfs4A8hbCaLhRDQ,normal,
pokemon/type/1,EuzzjqHJm7gZvsw3kfX3hswJGeFFvrfs4A8hbCaLhRDQ,psychic,
pokemon/name,Ev21TdoTe6rBED23bYUfpcpi3PCa1H8fgnm7pkgyM4iZ,minior-green-meteor,
pokemon/stat/attack,Ev21TdoTe6rBED23bYUfpcpi3PCa1H8fgnm7pkgyM4iZ,60,
pokemon/stat/defense,Ev21TdoTe6rBED23bYUfpcpi3PCa1H8fgnm7pkgyM4iZ,100,
pokemon/stat/hp,Ev21TdoTe6rBED23bYUfpcpi3PCa1H8fgnm7pkgyM4iZ,60,
pokemon/stat/special-attack,Ev21TdoTe6rBED23bYUfpcpi3PCa1H8fgnm7pkgyM4iZ,60,
pokemon/stat/special-defense,Ev21TdoTe6rBED23bYUfpcpi3PCa1H8fgnm7pkgyM4iZ,100,
pokemon/stat/speed,Ev21TdoTe6rBED23bYUfpcpi3PCa1H8fgnm7pkgyM4iZ,60,
pokemon/type/0,Ev21TdoTe6rBED23bYUfpcpi3PCa1H8fgnm7pkgyM4iZ,rock,
pokemon/type/1,Ev21TdoTe6rBED23bYUfpcpi3PCa1H8fgnm7pkgyM4iZ,flying,
